Designator,Footprint,Quantity,Value,LCSC Part #
J2,MICRO-USB-SMD_U254-051T-4BH83-S1S,1,U254-051T-4BH83-S1S,
J1,MICRO-USB-SMD_U254-051T-4BH83-S1S,1,U254-051T-4BH83-S1S,
R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R18,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
F3,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,0467.375NRHF,
R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C12,CP_EIA-3216-18_Kemet-A,1,tant 10u,
R36,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
J7,PinHeader_1x06_P2.54mm_Vertical,1,debug,
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C13,CP_EIA-3216-18_Kemet-A,1,tant 10u,
R27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R24,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
U1,LQFP-64_10x10mm_P0.5mm,1,CH32V307RCT6,
R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
D1,D_SOD-123,1,B5819W,
R39,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R38,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R21,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
J10,PinHeader_1x08_P1.27mm_Vertical,1,Conn_01x08,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X32258MOB4SI,
R23,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R32,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R35,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
D2,D_SOD-123,1,B5819W,
C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
J8,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Male,
R30,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
J3,PinHeader_1x27_P2.54mm_Vertical,1,Conn_01x30_Male,
R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C19,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C14,C_0805_2012Metric,1,x7r 1u,
C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
R40,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R28,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
F2,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,0467.375NRHF,
R25,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
J5,TF-SMD_XKTF-N02-N,1,XKTF-N02-N,
C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10p,
R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
J6,PinHeader_1x21_P2.54mm_Vertical,1,Conn_01x21_Male,
C11,C_0805_2012Metric,1,x7r 1u,
S_BOOT0,SW_SPST_B3U-1000P,1,GT-TC032A-H015-L1,
R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
R17,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,0467.375NRHF,
R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R37,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
R31,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10p,
S_RESET1,SW_SPST_B3U-1000P,1,GT-TC032A-H015-L1,
JP1,PinHeader_1x03_P2.00mm_Vertical,1,Jumper_3_Open,
R41,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10p,
R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R29,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,X7R 0.1u,
C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10p,
J9,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Clock_in,
